# Region type : patch atm
# Faces       : 5208
# Area        : 2.420000e+02
# Scale factor: 1.000000e+00
# Time        	sum(rhoPhi)
0.0833333     	-3.495747e+01
0.138889      	-3.492361e+01
0.194444      	-3.488834e+01
0.25          	-3.486117e+01
0.291667      	-3.483435e+01
0.34375       	-3.480558e+01
0.375         	-3.477677e+01
0.40625       	-3.474584e+01
0.416667      	-3.471768e+01
0.428571      	-3.469230e+01
0.442857      	-3.467325e+01
0.461905      	-3.465339e+01
0.480952      	-3.463100e+01
0.5           	-3.460654e+01
0.517857      	-3.458156e+01
0.533333      	-3.455689e+01
0.551389      	-3.453318e+01
0.57125       	-3.450978e+01
0.593594      	-3.448540e+01
0.619661      	-3.445961e+01
0.634144      	-3.443255e+01
0.650694      	-3.440619e+01
0.670556      	-3.438432e+01
0.697037      	-3.436151e+01
0.723519      	-3.433654e+01
0.75          	-3.430825e+01
0.761364      	-3.428273e+01
0.774621      	-3.425835e+01
0.789646      	-3.423999e+01
0.807176      	-3.422130e+01
0.811111      	-3.420188e+01
0.815833      	-3.418546e+01
0.821414      	-3.417491e+01
0.828028      	-3.416534e+01
0.835845      	-3.415551e+01
0.844965      	-3.414485e+01
0.856039      	-3.413312e+01
0.869126      	-3.412009e+01
0.885486      	-3.410561e+01
0.904571      	-3.408954e+01
0.928428      	-3.407191e+01
0.952286      	-3.405265e+01
0.976143      	-3.403178e+01
1             	-3.401124e+01
1.02273       	-3.399068e+01
1.05114       	-3.397048e+01
1.05546       	-3.395002e+01
1.06058       	-3.393142e+01
1.06669       	-3.392126e+01
1.07402       	-3.391210e+01
1.08282       	-3.390309e+01
1.09327       	-3.389317e+01
1.10533       	-3.388225e+01
1.11979       	-3.386999e+01
1.13839       	-3.385691e+01
1.16072       	-3.384214e+01
1.19048       	-3.382502e+01
1.19589       	-3.380697e+01
1.20265       	-3.378726e+01
1.21054       	-3.377746e+01
1.22041       	-3.376709e+01
1.23027       	-3.375690e+01
1.24014       	-3.374588e+01
1.25          	-3.373462e+01
1.2619        	-3.372327e+01
1.27591       	-3.371150e+01
1.29315       	-3.369898e+01
1.31383       	-3.368487e+01
1.3371        	-3.366939e+01
1.36425       	-3.365218e+01
1.38122       	-3.363390e+01
1.38292       	-3.361519e+01
1.38494       	-3.360138e+01
1.38739       	-3.359399e+01
1.39035       	-3.358829e+01
1.39389       	-3.358403e+01
1.39813       	-3.357910e+01
1.40322       	-3.357371e+01
1.40927       	-3.356700e+01
1.41683       	-3.355984e+01
1.42607       	-3.355166e+01
1.43663       	-3.354226e+01
1.44931       	-3.353180e+01
1.46621       	-3.352013e+01
1.4831        	-3.350699e+01
1.48733       	-3.349253e+01
1.49155       	-3.348012e+01
1.49578       	-3.347169e+01
1.5           	-3.346431e+01
1.5051        	-3.345734e+01
1.51122       	-3.345062e+01
1.51869       	-3.344319e+01
1.52758       	-3.343512e+01
1.53817       	-3.342548e+01
1.55063       	-3.341588e+01
1.56597       	-3.340478e+01
1.58437       	-3.339109e+01
1.60803       	-3.337704e+01
1.63643       	-3.336068e+01
1.67428       	-3.334354e+01
1.68943       	-3.332312e+01
1.70962       	-3.330293e+01
1.72981       	-3.328526e+01
1.75          	-3.326721e+01
1.775         	-3.324880e+01
1.80312       	-3.322826e+01
1.83594       	-3.321004e+01
1.85234       	-3.318858e+01
1.86219       	-3.316945e+01
1.87367       	-3.315153e+01
1.88771       	-3.313592e+01
1.90375       	-3.312155e+01
1.923         	-3.310537e+01
1.94867       	-3.308704e+01
1.97433       	-3.306579e+01
1.97667       	-3.304650e+01
1.97958       	-3.303504e+01
1.98299       	-3.302468e+01
1.98724       	-3.301717e+01
1.99149       	-3.300990e+01
1.99575       	-3.300285e+01
2             	-3.299589e+01
2.0051        	-3.298872e+01
2.01122       	-3.298126e+01
2.01846       	-3.297285e+01
2.02704       	-3.296344e+01
2.03717       	-3.295403e+01
2.04899       	-3.294199e+01
2.06335       	-3.292848e+01
2.08032       	-3.291410e+01
2.08436       	-3.289769e+01
2.08909       	-3.288667e+01
2.09484       	-3.287650e+01
2.10189       	-3.286757e+01
2.11012       	-3.285804e+01
2.12011       	-3.284830e+01
2.13192       	-3.283703e+01
2.14668       	-3.282428e+01
2.1639        	-3.281020e+01
2.18542       	-3.279411e+01
2.20695       	-3.277606e+01
2.21771       	-3.275778e+01
2.22847       	-3.274178e+01
2.23924       	-3.272773e+01
2.25          	-3.271409e+01
2.26316       	-3.269992e+01
2.27895       	-3.268513e+01
2.29737       	-3.266737e+01
2.31988       	-3.264394e+01
2.34561       	-3.261341e+01
2.37135       	-3.257721e+01
2.40351       	-3.253149e+01
2.40918       	-3.250570e+01
2.41617       	-3.248760e+01
2.42455       	-3.246927e+01
2.43533       	-3.245259e+01
2.44827       	-3.243691e+01
2.46551       	-3.241366e+01
2.48276       	-3.238448e+01
2.5           	-3.234835e+01
2.52083       	-3.228252e+01
2.5463        	-3.216652e+01
2.5754        	-3.212414e+01
2.58883       	-3.212660e+01
2.60495       	-3.205956e+01
2.62308       	-3.201446e+01
2.64423       	-3.200290e+01
2.67067       	-3.201196e+01
2.69712       	-3.199800e+01
2.72356       	-3.200634e+01
2.75          	-3.198580e+01
2.77083       	-3.196084e+01
2.7963        	-3.193752e+01
2.8254        	-3.192047e+01
2.83883       	-3.192462e+01
2.85495       	-3.189282e+01
2.87308       	-3.186697e+01
2.89423       	-3.182949e+01
2.92067       	-3.179976e+01
2.94712       	-3.177886e+01
2.97356       	-3.177016e+01
3             	-3.175824e+01
3.03125       	-3.175350e+01
3.06771       	-3.174906e+01
3.11328       	-3.166814e+01
3.13607       	-3.170212e+01
3.16455       	-3.160461e+01
3.19303       	-3.150338e+01
3.22152       	-3.129489e+01
3.25          	-3.089825e+01
3.27273       	-3.062166e+01
3.29798       	-2.959626e+01
3.32684       	-2.698699e+01
3.35158       	-2.451268e+01
3.38126       	-1.386048e+01
3.42084       	2.361230e+01
3.46042       	8.451710e+01
3.5           	2.019632e+02
3.53125       	3.002908e+02
3.55859       	5.255246e+02
3.58594       	8.604846e+02
3.60938       	1.203112e+03
3.63281       	1.656751e+03
3.65234       	2.000724e+03
3.67188       	2.361949e+03
3.69141       	2.609248e+03
3.71094       	2.782339e+03
3.73047       	2.871594e+03
3.75          	2.941111e+03
3.76667       	2.991941e+03
3.78333       	3.002283e+03
3.79881       	2.977388e+03
3.81429       	2.962175e+03
3.82976       	2.963803e+03
3.84395       	2.951498e+03
3.85813       	2.923166e+03
3.87232       	2.881210e+03
3.88651       	2.769589e+03
3.90069       	2.626250e+03
3.91488       	2.461317e+03
3.92907       	2.285081e+03
3.94325       	2.123784e+03
3.95744       	1.983381e+03
3.97163       	1.856815e+03
3.98581       	1.765512e+03
4             	1.690138e+03
4.01562       	1.643498e+03
4.03365       	1.597825e+03
4.05168       	1.557888e+03
4.07151       	1.542589e+03
4.08774       	1.490717e+03
4.10577       	1.474994e+03
4.1238        	1.425818e+03
4.14183       	1.385126e+03
4.15986       	1.334669e+03
4.17788       	1.286948e+03
4.19591       	1.237526e+03
4.21394       	1.184510e+03
4.23197       	1.127646e+03
4.25          	1.071103e+03
4.26923       	1.012030e+03
4.28846       	9.489482e+02
4.30962       	8.892450e+02
4.33077       	8.393113e+02
4.35192       	7.914220e+02
4.37308       	7.513617e+02
4.39423       	7.171108e+02
4.41538       	6.772911e+02
4.43654       	6.486042e+02
4.45769       	6.170717e+02
4.47885       	5.909618e+02
4.5           	5.599592e+02
4.52083       	5.298176e+02
4.54167       	5.017470e+02
4.5625        	4.704807e+02
4.58333       	4.542407e+02
4.60417       	4.230570e+02
4.625         	4.007942e+02
4.64583       	3.775114e+02
4.66319       	3.498983e+02
4.6849        	3.362711e+02
4.7066        	3.136160e+02
4.7283        	2.912432e+02
4.75          	2.722768e+02
4.76786       	2.512164e+02
4.78571       	2.383042e+02
4.80357       	2.229204e+02
4.82143       	2.185663e+02
4.84127       	2.124064e+02
4.86111       	1.974714e+02
4.87847       	1.863615e+02
4.89583       	1.828519e+02
4.91319       	1.732546e+02
4.93056       	1.572122e+02
4.94792       	1.471495e+02
4.96528       	1.475257e+02
4.98264       	1.323020e+02
5             	1.270743e+02
5.01923       	1.234460e+02
5.03846       	1.192483e+02
5.05769       	1.147377e+02
5.07692       	1.151054e+02
5.09615       	1.272773e+02
5.11538       	1.276753e+02
5.13462       	1.443754e+02
5.15385       	1.673246e+02
5.17308       	1.922818e+02
5.19231       	2.183716e+02
5.21154       	2.430377e+02
5.23077       	2.653482e+02
5.25          	2.828855e+02
5.26786       	2.867296e+02
5.28571       	2.825958e+02
5.30519       	2.847080e+02
5.32684       	2.876441e+02
5.35158       	2.867429e+02
5.37278       	2.778046e+02
5.39822       	2.678650e+02
5.41858       	2.557740e+02
5.43893       	2.433318e+02
5.45929       	2.214917e+02
5.47964       	2.130320e+02
5.5           	2.049922e+02
5.52273       	2.048018e+02
5.54798       	2.099777e+02
5.57043       	2.087317e+02
5.59608       	2.200759e+02
5.62173       	2.319948e+02
5.64739       	2.427789e+02
5.67304       	2.567141e+02
5.69869       	2.707189e+02
5.72435       	2.855478e+02
5.73717       	2.726008e+02
5.75          	2.936709e+02
5.76562       	3.048454e+02
5.78365       	2.938809e+02
5.80529       	2.664433e+02
5.82963       	2.390651e+02
5.85397       	2.073101e+02
5.88317       	2.124669e+02
5.91238       	2.195908e+02
5.94159       	2.379770e+02
5.97079       	2.614674e+02
6             	2.921125e+02
6.03125       	3.380017e+02
6.05859       	3.661223e+02
6.08594       	4.037104e+02
6.11328       	4.372202e+02
6.14062       	4.730928e+02
6.16797       	5.118049e+02
6.19531       	5.431894e+02
6.22266       	5.732227e+02
6.25          	6.043426e+02
6.28125       	6.360781e+02
6.3125        	6.493792e+02
6.34375       	6.596596e+02
6.375         	6.712747e+02
6.40625       	6.790257e+02
6.4375        	6.874833e+02
6.46875       	6.912134e+02
6.5           	6.991387e+02
6.53125       	6.966857e+02
6.5625        	6.952755e+02
6.59375       	6.989030e+02
6.625         	7.009442e+02
6.65          	6.870395e+02
6.675         	6.913713e+02
6.7           	6.851998e+02
6.725         	6.851579e+02
6.75          	6.811870e+02
6.775         	6.759701e+02
6.8           	6.707106e+02
6.82857       	6.796129e+02
6.85306       	6.761593e+02
6.88245       	6.990004e+02
6.91184       	7.142199e+02
6.94122       	7.336347e+02
6.96082       	7.218139e+02
6.98041       	7.451701e+02
7             	7.682763e+02
7.02273       	7.806340e+02
7.04167       	7.995021e+02
7.0625        	7.939768e+02
7.08125       	7.749570e+02
7.1           	7.653841e+02
7.12143       	7.610062e+02
7.14714       	7.170472e+02
7.16771       	7.223527e+02
7.18829       	7.045870e+02
7.20886       	6.681522e+02
7.22943       	6.528029e+02
7.25          	6.276577e+02
7.26786       	6.012882e+02
7.28896       	5.711986e+02
7.31241       	5.635145e+02
7.33117       	5.308249e+02
7.35227       	5.056612e+02
7.37689       	4.907216e+02
7.39057       	4.847316e+02
7.4062        	4.431690e+02
7.42496       	4.443444e+02
7.44998       	3.962482e+02
7.46248       	4.017127e+02
7.47499       	3.555172e+02
7.48749       	3.437363e+02
7.5           	3.292924e+02
7.51471       	3.169790e+02
7.53151       	3.139479e+02
7.54517       	2.873012e+02
7.55797       	2.683457e+02
7.57274       	2.757835e+02
7.59047       	2.475818e+02
7.61041       	2.340480e+02
7.63367       	2.259643e+02
7.65694       	2.147712e+02
7.68796       	2.103464e+02
7.71898       	1.976428e+02
7.75          	1.907317e+02
7.78571       	1.789838e+02
7.81633       	1.691869e+02
7.84694       	1.656819e+02
7.8852        	1.557599e+02
7.92347       	1.461861e+02
7.96173       	1.387774e+02
8             	1.309343e+02
8.03571       	1.244426e+02
8.07857       	1.193667e+02
8.12143       	1.114669e+02
8.16429       	1.060047e+02
8.20714       	1.006704e+02
8.25          	9.488790e+01
8.29167       	9.024516e+01
8.33333       	8.419575e+01
8.375         	8.049916e+01
8.41667       	7.361345e+01
8.45833       	7.081662e+01
8.5           	6.453028e+01
8.55          	6.166717e+01
8.6           	5.488544e+01
8.65          	5.209780e+01
8.7           	4.605298e+01
8.75          	4.227543e+01
8.8           	3.633866e+01
8.85          	3.183616e+01
8.9           	2.709666e+01
8.95          	2.287125e+01
9             	1.815671e+01
9.05          	1.490104e+01
9.1           	1.077133e+01
9.15          	8.118195e+00
9.2           	4.096030e+00
9.25          	1.087958e+00
9.3125        	-1.857737e+00
9.375         	-5.066337e+00
9.4375        	-8.401115e+00
9.5           	-1.167776e+01
9.5625        	-1.434804e+01
9.625         	-1.613051e+01
9.6875        	-1.907071e+01
9.75          	-2.065057e+01
9.8125        	-2.316193e+01
9.85938       	-2.449677e+01
9.90625       	-2.614169e+01
9.95312       	-2.689842e+01
10            	-2.821622e+01
10.0417       	-2.870972e+01
10.0833       	-3.050512e+01
10.1389       	-3.155439e+01
10.1944       	-3.251918e+01
10.25         	-3.314233e+01
10.2917       	-3.449308e+01
10.3438       	-3.483796e+01
10.375        	-3.490100e+01
10.4062       	-3.553323e+01
10.4375       	-3.630763e+01
10.4688       	-3.636264e+01
10.5          	-3.683160e+01
10.5357       	-3.736048e+01
10.5786       	-3.784067e+01
10.6214       	-3.827159e+01
10.6643       	-3.894179e+01
10.7071       	-3.892960e+01
10.75         	-3.945347e+01
10.8          	-3.974326e+01
10.85         	-3.979611e+01
10.8875       	-4.000044e+01
10.925        	-4.031532e+01
10.9625       	-4.040691e+01
11            	-4.044979e+01
11.0417       	-4.073676e+01
11.0938       	-4.079670e+01
11.125        	-4.083788e+01
11.1667       	-4.111582e+01
11.2083       	-4.129177e+01
11.25         	-4.138541e+01
11.3          	-4.157958e+01
11.35         	-4.188441e+01
11.3875       	-4.197653e+01
11.425        	-4.228938e+01
11.4625       	-4.253494e+01
11.5          	-4.282999e+01
11.5417       	-4.311822e+01
11.5938       	-4.358098e+01
11.6458       	-4.396215e+01
11.6979       	-4.438481e+01
11.75         	-4.482941e+01
11.8125       	-4.538435e+01
11.875        	-4.585808e+01
11.9375       	-4.634553e+01
12            	-4.684894e+01
12.0625       	-4.730049e+01
12.125        	-4.777115e+01
12.1875       	-4.820971e+01
12.25         	-4.865084e+01
12.3125       	-4.907617e+01
12.375        	-4.942534e+01
12.4375       	-4.987042e+01
12.5          	-5.025183e+01
12.5625       	-5.070878e+01
12.625        	-5.114632e+01
12.6875       	-5.165882e+01
12.75         	-5.211047e+01
12.8125       	-5.267124e+01
12.875        	-5.319296e+01
12.9375       	-5.379479e+01
13            	-5.428805e+01
13.0625       	-5.493320e+01
13.125        	-5.546603e+01
13.1875       	-5.614419e+01
13.25         	-5.675061e+01
13.3125       	-5.742803e+01
13.375        	-5.799498e+01
13.4375       	-5.879618e+01
13.5          	-5.934807e+01
13.55         	-6.019177e+01
13.6          	-6.080837e+01
13.65         	-6.159500e+01
13.7          	-6.228497e+01
13.75         	-6.300571e+01
13.8          	-6.370472e+01
13.85         	-6.453945e+01
13.9          	-6.527503e+01
13.95         	-6.611962e+01
14            	-6.693598e+01
14.05         	-6.783013e+01
14.1          	-6.868647e+01
14.15         	-6.967133e+01
14.2          	-7.050561e+01
14.25         	-7.138543e+01
14.3          	-7.231271e+01
14.35         	-7.315697e+01
14.4          	-7.410710e+01
14.45         	-7.501322e+01
14.5          	-7.599270e+01
14.55         	-7.690027e+01
14.6          	-7.795308e+01
14.65         	-7.881057e+01
14.7          	-7.991044e+01
14.75         	-8.079086e+01
14.8          	-8.191055e+01
14.85         	-8.273091e+01
14.9          	-8.385123e+01
14.95         	-8.470073e+01
15            	-8.585086e+01
15.05         	-8.666958e+01
15.1          	-8.788616e+01
15.15         	-8.876535e+01
15.2          	-8.993480e+01
15.25         	-9.086606e+01
15.3          	-9.191203e+01
15.35         	-9.293882e+01
15.4          	-9.405372e+01
15.45         	-9.496385e+01
15.5          	-9.604216e+01
15.55         	-9.692817e+01
15.6          	-9.793252e+01
15.65         	-9.895286e+01
15.7          	-9.994050e+01
15.75         	-1.008504e+02
