# Region type : patch inlet
# Faces       : 966
# Area        : 4.891447e+01
# Scale factor: 1.000000e+00
# Time        	sum(rhoPhi)
0.0833333     	-5.000000e+04
0.138889      	-5.000000e+04
0.194444      	-5.000000e+04
0.25          	-5.000000e+04
0.291667      	-5.000000e+04
0.34375       	-5.000000e+04
0.375         	-5.000000e+04
0.40625       	-5.000000e+04
0.416667      	-5.000000e+04
0.428571      	-5.000000e+04
0.442857      	-5.000000e+04
0.461905      	-5.000000e+04
0.480952      	-5.000000e+04
0.5           	-5.000000e+04
0.517857      	-5.000000e+04
0.533333      	-5.000000e+04
0.551389      	-5.000000e+04
0.57125       	-5.000000e+04
0.593594      	-5.000000e+04
0.619661      	-5.000000e+04
0.634144      	-5.000000e+04
0.650694      	-5.000000e+04
0.670556      	-5.000000e+04
0.697037      	-5.000000e+04
0.723519      	-5.000000e+04
0.75          	-5.000000e+04
0.761364      	-5.000000e+04
0.774621      	-5.000000e+04
0.789646      	-5.000000e+04
0.807176      	-5.000000e+04
0.811111      	-5.000000e+04
0.815833      	-5.000000e+04
0.821414      	-5.000000e+04
0.828028      	-5.000000e+04
0.835845      	-5.000000e+04
0.844965      	-5.000000e+04
0.856039      	-5.000000e+04
0.869126      	-5.000000e+04
0.885486      	-5.000000e+04
0.904571      	-5.000000e+04
0.928428      	-5.000000e+04
0.952286      	-5.000000e+04
0.976143      	-5.000000e+04
1             	-5.000000e+04
1.02273       	-5.000000e+04
1.05114       	-5.000000e+04
1.05546       	-5.000000e+04
1.06058       	-5.000000e+04
1.06669       	-5.000000e+04
1.07402       	-5.000000e+04
1.08282       	-5.000000e+04
1.09327       	-5.000000e+04
1.10533       	-5.000000e+04
1.11979       	-5.000000e+04
1.13839       	-5.000000e+04
1.16072       	-5.000000e+04
1.19048       	-5.000000e+04
1.19589       	-5.000000e+04
1.20265       	-5.000000e+04
1.21054       	-5.000000e+04
1.22041       	-5.000000e+04
1.23027       	-5.000000e+04
1.24014       	-5.000000e+04
1.25          	-5.000000e+04
1.2619        	-5.000000e+04
1.27591       	-5.000000e+04
1.29315       	-5.000000e+04
1.31383       	-5.000000e+04
1.3371        	-5.000000e+04
1.36425       	-5.000000e+04
1.38122       	-5.000000e+04
1.38292       	-5.000000e+04
1.38494       	-5.000000e+04
1.38739       	-5.000000e+04
1.39035       	-5.000000e+04
1.39389       	-5.000000e+04
1.39813       	-5.000000e+04
1.40322       	-5.000000e+04
1.40927       	-5.000000e+04
1.41683       	-5.000000e+04
1.42607       	-5.000000e+04
1.43663       	-5.000000e+04
1.44931       	-5.000000e+04
1.46621       	-5.000000e+04
1.4831        	-5.000000e+04
1.48733       	-5.000000e+04
1.49155       	-5.000000e+04
1.49578       	-5.000000e+04
1.5           	-5.000000e+04
1.5051        	-5.000000e+04
1.51122       	-5.000000e+04
1.51869       	-5.000000e+04
1.52758       	-5.000000e+04
1.53817       	-5.000000e+04
1.55063       	-5.000000e+04
1.56597       	-5.000000e+04
1.58437       	-5.000000e+04
1.60803       	-5.000000e+04
1.63643       	-5.000000e+04
1.67428       	-5.000000e+04
1.68943       	-5.000000e+04
1.70962       	-5.000000e+04
1.72981       	-5.000000e+04
1.75          	-5.000000e+04
1.775         	-5.000000e+04
1.80312       	-5.000000e+04
1.83594       	-5.000000e+04
1.85234       	-5.000000e+04
1.86219       	-5.000000e+04
1.87367       	-5.000000e+04
1.88771       	-5.000000e+04
