# Region type : patch outlet
# Faces       : 2100
# Area        : 8.495747e+01
# Scale factor: 1.000000e+00
# Time        	sum(rhoPhi)
0.0833333     	8.495747e+01
0.138889      	8.492359e+01
0.194444      	8.488840e+01
0.25          	8.486098e+01
0.291667      	8.483408e+01
0.34375       	8.480589e+01
0.375         	8.477640e+01
0.40625       	8.474635e+01
0.416667      	8.471713e+01
0.428571      	8.469251e+01
0.442857      	8.467302e+01
0.461905      	8.465308e+01
0.480952      	8.463066e+01
0.5           	8.460622e+01
0.517857      	8.458128e+01
0.533333      	8.455655e+01
0.551389      	8.453290e+01
0.57125       	8.450946e+01
0.593594      	8.448496e+01
0.619661      	8.445924e+01
0.634144      	8.443197e+01
0.650694      	8.440655e+01
0.670556      	8.438399e+01
0.697037      	8.436101e+01
0.723519      	8.433587e+01
0.75          	8.430904e+01
0.761364      	8.428202e+01
0.774621      	8.425875e+01
0.789646      	8.423961e+01
0.807176      	8.422095e+01
0.811111      	8.420147e+01
0.815833      	8.418559e+01
0.821414      	8.417482e+01
0.828028      	8.416523e+01
0.835845      	8.415537e+01
0.844965      	8.414467e+01
0.856039      	8.413289e+01
0.869126      	8.411983e+01
0.885486      	8.410534e+01
0.904571      	8.408922e+01
0.928428      	8.407144e+01
0.952286      	8.405195e+01
0.976143      	8.403135e+01
1             	8.401058e+01
1.02273       	8.398989e+01
1.05114       	8.396954e+01
1.05546       	8.394871e+01
1.06058       	8.393180e+01
1.06669       	8.392086e+01
1.07402       	8.391169e+01
1.08282       	8.390247e+01
1.09327       	8.389247e+01
1.10533       	8.388137e+01
1.11979       	8.386911e+01
1.13839       	8.385560e+01
1.16072       	8.384044e+01
1.19048       	8.382343e+01
1.19589       	8.380432e+01
1.20265       	8.378797e+01
1.21054       	8.377660e+01
1.22041       	8.376650e+01
1.23027       	8.375604e+01
1.24014       	8.374497e+01
1.25          	8.373369e+01
1.2619        	8.372238e+01
1.27591       	8.371060e+01
1.29315       	8.369778e+01
1.31383       	8.368360e+01
1.3371        	8.366781e+01
1.36425       	8.365059e+01
1.38122       	8.363203e+01
1.38292       	8.361397e+01
1.38494       	8.360114e+01
1.38739       	8.359381e+01
1.39035       	8.358854e+01
1.39389       	8.358378e+01
1.39813       	8.357884e+01
1.40322       	8.357338e+01
1.40927       	8.356720e+01
1.41683       	8.356018e+01
1.42607       	8.355209e+01
1.43663       	8.354275e+01
1.44931       	8.353221e+01
1.46621       	8.352046e+01
1.4831        	8.350705e+01
1.48733       	8.349230e+01
1.49155       	8.347997e+01
1.49578       	8.347129e+01
1.5           	8.346416e+01
1.5051        	8.345765e+01
1.51122       	8.345109e+01
1.51869       	8.344395e+01
1.52758       	8.343589e+01
1.53817       	8.342674e+01
1.55063       	8.341642e+01
1.56597       	8.340486e+01
1.58437       	8.339191e+01
1.60803       	8.337739e+01
1.63643       	8.336104e+01
1.67428       	8.334271e+01
1.68943       	8.332220e+01
1.70962       	8.330261e+01
1.72981       	8.328507e+01
1.75          	8.326745e+01
1.775         	8.324966e+01
1.80312       	8.323101e+01
1.83594       	8.321097e+01
1.85234       	8.318953e+01
1.86219       	8.316914e+01
1.87367       	8.315245e+01
1.88771       	8.313792e+01
1.90375       	8.312327e+01
1.923         	8.310759e+01
1.94867       	8.309055e+01
1.97433       	8.307152e+01
1.97667       	8.305094e+01
1.97958       	8.303476e+01
1.98299       	8.302495e+01
1.98724       	8.301758e+01
1.99149       	8.301071e+01
1.99575       	8.300375e+01
2             	8.299675e+01
2.0051        	8.298973e+01
2.01122       	8.298238e+01
2.01846       	8.297426e+01
2.02704       	8.296512e+01
2.03717       	8.295483e+01
2.04899       	8.294329e+01
2.06335       	8.293047e+01
2.08032       	8.291624e+01
2.08436       	8.290048e+01
2.08909       	8.288696e+01
2.09484       	8.287713e+01
2.10189       	8.286837e+01
2.11012       	8.285929e+01
2.12011       	8.284934e+01
2.13192       	8.283823e+01
2.14668       	8.282579e+01
2.1639        	8.281179e+01
2.18542       	8.279618e+01
2.20695       	8.277889e+01
2.21771       	8.276040e+01
2.22847       	8.274352e+01
2.23924       	8.272908e+01
2.25          	8.271560e+01
2.26316       	8.270247e+01
2.27895       	8.268892e+01
2.29737       	8.267420e+01
2.31988       	8.265811e+01
2.34561       	8.264048e+01
2.37135       	8.262133e+01
2.40351       	8.260132e+01
2.40918       	8.258034e+01
2.41617       	8.256264e+01
2.42455       	8.255010e+01
2.43533       	8.253902e+01
2.44827       	8.252751e+01
2.46551       	8.251477e+01
2.48276       	8.250025e+01
2.5           	8.248431e+01
2.52083       	8.246789e+01
2.5463        	8.245077e+01
2.5754        	8.243224e+01
2.58883       	8.241221e+01
2.60495       	8.239358e+01
2.62308       	8.237709e+01
2.64423       	8.236064e+01
2.67067       	8.234336e+01
2.69712       	8.232465e+01
2.72356       	8.230484e+01
2.75          	8.228466e+01
2.77083       	8.226437e+01
2.7963        	8.224479e+01
2.8254        	8.222545e+01
2.83883       	8.220523e+01
2.85495       	8.218657e+01
2.87308       	8.217005e+01
2.89423       	8.215357e+01
2.92067       	8.213626e+01
2.94712       	8.211747e+01
2.97356       	8.209752e+01
3             	8.207717e+01
3.03125       	8.205667e+01
3.06771       	8.203554e+01
3.11328       	8.201319e+01
3.13607       	8.198925e+01
3.16455       	8.196635e+01
3.19303       	8.194501e+01
3.22152       	8.192367e+01
3.25          	8.190228e+01
3.27273       	8.188085e+01
3.29798       	8.186019e+01
3.32684       	8.184007e+01
3.35158       	8.181943e+01
3.38126       	8.179877e+01
3.42084       	8.177788e+01
3.46042       	8.175558e+01
3.5           	8.173202e+01
3.53125       	8.170814e+01
3.55859       	8.168494e+01
3.58594       	8.166312e+01
3.60938       	8.164213e+01
3.63281       	8.162198e+01
